link_stub,rank,title,lifetime_gross,year,actor_actress
/title/tt2103281/?ref_=bo_cso_table_200,200,Dawn of the Planet of the Apes,"$208,545,589",2014,Gary Oldman
/title/tt0372784/?ref_=bo_cso_table_1,201,Batman Begins,"$206,852,432",2005,Christian Bale
/title/tt0367594/?ref_=bo_cso_table_2,202,Charlie and the Chocolate Factory,"$206,459,076",2005,Johnny Depp
/title/tt0382932/?ref_=bo_cso_table_3,203,Ratatouille,"$206,445,654",2007,Brad Garrett
/title/tt1981115/?ref_=bo_cso_table_4,204,Thor: The Dark World,"$206,362,140",2013,Chris Hemsworth
/title/tt1502397/?ref_=bo_cso_table_5,205,Bad Boys for Life,"$206,305,244",2020,Will Smith
/title/tt0145660/?ref_=bo_cso_table_6,206,Austin Powers: The Spy Who Shagged Me,"$206,040,086",1999,Mike Myers
/title/tt0103064/?ref_=bo_cso_table_7,207,Terminator 2: Judgment Day,"$205,881,154",1991,Arnold Schwarzenegger
/title/tt1872181/?ref_=bo_cso_table_8,208,The Amazing Spider-Man 2,"$202,853,933",2014,Andrew Garfield
/title/tt0816711/?ref_=bo_cso_table_9,209,World War Z,"$202,359,711",2013,Brad Pitt
/title/tt0209163/?ref_=bo_cso_table_10,210,The Mummy Returns,"$202,019,785",2001,Brendan Fraser
/title/tt0120591/?ref_=bo_cso_table_11,211,Armageddon,"$201,578,182",1998,Bruce Willis
/title/tt1661199/?ref_=bo_cso_table_12,212,Cinderella,"$201,151,353",2015,Lily James
/title/tt5848272/?ref_=bo_cso_table_13,213,Ralph Breaks the Internet,"$201,091,711",2018,John C. Reilly
/title/tt0031381/?ref_=bo_cso_table_14,214,Gone with the Wind,"$200,852,579",1939,Clark Gable
/title/tt0398286/?ref_=bo_cso_table_15,215,Tangled,"$200,821,936",2010,Mandy Moore
/title/tt0831387/?ref_=bo_cso_table_16,216,Godzilla,"$200,676,069",2014,Aaron Taylor-Johnson
/title/tt0348150/?ref_=bo_cso_table_17,217,Superman Returns,"$200,081,192",2006,Brandon Routh
/title/tt2379713/?ref_=bo_cso_table_18,218,Spectre,"$200,074,609",2015,Daniel Craig
/title/tt0213149/?ref_=bo_cso_table_19,219,Pearl Harbor,"$198,542,554",2001,Ben Affleck
/title/tt0892782/?ref_=bo_cso_table_20,220,Monsters vs. Aliens,"$198,351,526",2009,Reese Witherspoon
/title/tt0366548/?ref_=bo_cso_table_21,221,Happy Feet,"$198,000,317",2006,Elijah Wood
/title/tt0097576/?ref_=bo_cso_table_22,222,Indiana Jones and the Last Crusade,"$197,171,806",1989,Harrison Ford
/title/tt1080016/?ref_=bo_cso_table_23,223,Ice Age: Dawn of the Dinosaurs,"$196,573,705",2009,Ray Romano
/title/tt0438097/?ref_=bo_cso_table_24,224,Ice Age: The Meltdown,"$195,330,621",2006,Ray Romano
/title/tt2381249/?ref_=bo_cso_table_25,225,Mission: Impossible - Rogue Nation,"$195,042,377",2015,Tom Cruise
/title/tt1099212/?ref_=bo_cso_table_26,226,Twilight,"$193,962,473",2008,Kristen Stewart
/title/tt0120912/?ref_=bo_cso_table_27,227,Men in Black II,"$193,735,288",2002,Tommy Lee Jones
/title/tt0351283/?ref_=bo_cso_table_28,228,Madagascar,"$193,595,521",2005,Chris Rock
/title/tt2294449/?ref_=bo_cso_table_29,229,22 Jump Street,"$191,719,337",2014,Channing Tatum
/title/tt1216475/?ref_=bo_cso_table_30,230,Cars 2,"$191,452,396",2011,Owen Wilson
/title/tt1291150/?ref_=bo_cso_table_31,231,Teenage Mutant Ninja Turtles,"$191,204,754",2014,Megan Fox
/title/tt4633694/?ref_=bo_cso_table_32,232,Spider-Man: Into the Spider-Verse,"$190,241,310",2018,Shameik Moore
/title/tt0077631/?ref_=bo_cso_table_33,233,Grease,"$190,071,103",1978,John Travolta
/title/tt5013056/?ref_=bo_cso_table_34,234,Dunkirk,"$189,740,665",2017,Fionn Whitehead
/title/tt1772341/?ref_=bo_cso_table_35,235,Wreck-It Ralph,"$189,422,889",2012,John C. Reilly
/title/tt6644200/?ref_=bo_cso_table_36,236,A Quiet Place,"$188,024,361",2018,Emily Blunt
/title/tt0816692/?ref_=bo_cso_table_37,237,Interstellar,"$188,020,017",2014,Matthew McConaughey
/title/tt0338348/?ref_=bo_cso_table_38,238,The Polar Express,"$187,935,490",2004,Tom Hanks
/title/tt0172495/?ref_=bo_cso_table_39,239,Gladiator,"$187,705,427",2000,Russell Crowe
/title/tt0481499/?ref_=bo_cso_table_40,240,The Croods,"$187,168,425",2013,Nicolas Cage
/title/tt1515091/?ref_=bo_cso_table_41,241,Sherlock Holmes: A Game of Shadows,"$186,848,418",2011,Robert Downey Jr.
/title/tt0319262/?ref_=bo_cso_table_42,242,The Day After Tomorrow,"$186,740,799",2004,Dennis Quaid
/title/tt0356910/?ref_=bo_cso_table_43,243,Mr. & Mrs. Smith,"$186,336,279",2005,Brad Pitt
/title/tt0029583/?ref_=bo_cso_table_44,244,Snow White and the Seven Dwarfs,"$184,925,486",1937,Adriana Caselotti
/title/tt2848292/?ref_=bo_cso_table_45,245,Pitch Perfect 2,"$184,296,230",2015,Anna Kendrick
